fact_id,employee_id,project_id,kpi_id,evaluation_date,kpi_value,kpi_target,status_pencapaian
380411,2,8,1,2024-02-19,70.78,80.0,Tidak Tercapai
380412,2,8,2,2024-02-19,67.92,80.0,Tidak Tercapai
380413,2,8,3,2024-02-19,69.3,82.0,Tidak Tercapai
380414,2,8,4,2024-02-19,73.24,85.0,Tidak Tercapai
380415,2,8,5,2024-02-19,65.33,85.0,Tidak Tercapai
380416,2,8,6,2024-02-19,64.26,75.0,Tidak Tercapai
380417,2,8,7,2024-02-19,76.73,88.0,Tidak Tercapai
380418,2,8,8,2024-02-19,72.0,80.0,Tidak Tercapai
380419,2,8,9,2024-02-19,70.74,90.0,Tidak Tercapai
380420,2,8,10,2024-02-19,66.67,72.0,Tidak Tercapai
380421,2,8,11,2024-02-19,68.61,83.0,Tidak Tercapai
380422,2,8,12,2024-02-19,67.53,88.0,Tidak Tercapai
380423,2,8,13,2024-02-19,69.63,78.0,Tidak Tercapai
380424,2,8,14,2024-02-19,57.78,85.0,Tidak Tercapai
380425,2,8,15,2024-02-19,60.78,82.0,Tidak Tercapai
380426,2,8,1,2024-01-25,65.22,80.0,Tidak Tercapai
380427,2,8,2,2024-01-25,63.2,80.0,Tidak Tercapai
380428,2,8,3,2024-01-25,67.04,82.0,Tidak Tercapai
380429,2,8,4,2024-01-25,61.54,85.0,Tidak Tercapai
380430,2,8,5,2024-01-25,59.27,85.0,Tidak Tercapai
380431,2,8,6,2024-01-25,71.15,75.0,Tidak Tercapai
380432,2,8,7,2024-01-25,67.8,88.0,Tidak Tercapai
380433,2,8,8,2024-01-25,68.06,80.0,Tidak Tercapai
380434,2,8,9,2024-01-25,65.6,90.0,Tidak Tercapai
380435,2,8,10,2024-01-25,61.04,72.0,Tidak Tercapai
380436,2,8,11,2024-01-25,70.38,83.0,Tidak Tercapai
380437,2,8,12,2024-01-25,63.64,88.0,Tidak Tercapai
380438,2,8,13,2024-01-25,69.44,78.0,Tidak Tercapai
380439,2,8,14,2024-01-25,62.92,85.0,Tidak Tercapai
380440,2,8,15,2024-01-25,66.44,82.0,Tidak Tercapai
380441,2,8,1,2024-01-24,65.04,80.0,Tidak Tercapai
380442,2,8,2,2024-01-24,76.08,80.0,Tidak Tercapai
380443,2,8,3,2024-01-24,65.56,82.0,Tidak Tercapai
380444,2,8,4,2024-01-24,60.86,85.0,Tidak Tercapai
380445,2,8,5,2024-01-24,69.32,85.0,Tidak Tercapai
380446,2,8,6,2024-01-24,59.06,75.0,Tidak Tercapai
380447,2,8,7,2024-01-24,69.75,88.0,Tidak Tercapai
380448,2,8,8,2024-01-24,58.93,80.0,Tidak Tercapai
380449,2,8,9,2024-01-24,66.03,90.0,Tidak Tercapai
380450,2,8,10,2024-01-24,64.37,72.0,Tidak Tercapai
380451,2,8,11,2024-01-24,73.2,83.0,Tidak Tercapai
380452,2,8,12,2024-01-24,69.59,88.0,Tidak Tercapai
380453,2,8,13,2024-01-24,67.23,78.0,Tidak Tercapai
380454,2,8,14,2024-01-24,64.26,85.0,Tidak Tercapai
380455,2,8,15,2024-01-24,61.1,82.0,Tidak Tercapai
380456,2,2,1,2023-08-05,61.73,80.0,Tidak Tercapai
380457,2,2,2,2023-08-05,62.9,80.0,Tidak Tercapai
380458,2,2,3,2023-08-05,67.69,82.0,Tidak Tercapai
380459,2,2,4,2023-08-05,64.48,85.0,Tidak Tercapai
380460,2,2,5,2023-08-05,55.0,85.0,Tidak Tercapai
380461,2,2,6,2023-08-05,63.37,75.0,Tidak Tercapai
380462,2,2,7,2023-08-05,64.26,88.0,Tidak Tercapai
380463,2,2,8,2023-08-05,61.93,80.0,Tidak Tercapai
380464,2,2,9,2023-08-05,71.81,90.0,Tidak Tercapai
380465,2,2,10,2023-08-05,65.53,72.0,Tidak Tercapai
380466,2,2,11,2023-08-05,71.21,83.0,Tidak Tercapai
380467,2,2,12,2023-08-05,62.22,88.0,Tidak Tercapai
380468,2,2,13,2023-08-05,63.58,78.0,Tidak Tercapai
380469,2,2,14,2023-08-05,64.42,85.0,Tidak Tercapai
380470,2,2,15,2023-08-05,69.36,82.0,Tidak Tercapai
380471,2,18,1,2024-12-25,67.78,80.0,Tidak Tercapai
380472,2,18,2,2024-12-25,69.1,80.0,Tidak Tercapai
380473,2,18,3,2024-12-25,62.76,82.0,Tidak Tercapai
380474,2,18,4,2024-12-25,62.36,85.0,Tidak Tercapai
380475,2,18,5,2024-12-25,71.39,85.0,Tidak Tercapai
380476,2,18,6,2024-12-25,72.74,75.0,Tidak Tercapai
380477,2,18,7,2024-12-25,70.71,88.0,Tidak Tercapai
380478,2,18,8,2024-12-25,74.45,80.0,Tidak Tercapai
380479,2,18,9,2024-12-25,75.96,90.0,Tidak Tercapai
380480,2,18,10,2024-12-25,62.64,72.0,Tidak Tercapai
380481,2,18,11,2024-12-25,73.76,83.0,Tidak Tercapai
380482,2,18,12,2024-12-25,77.96,88.0,Tidak Tercapai
380483,2,18,13,2024-12-25,69.78,78.0,Tidak Tercapai
380484,2,18,14,2024-12-25,74.78,85.0,Tidak Tercapai
380485,2,18,15,2024-12-25,58.15,82.0,Tidak Tercapai
380486,2,16,1,2024-09-24,72.53,80.0,Tidak Tercapai
380487,2,16,2,2024-09-24,69.23,80.0,Tidak Tercapai
380488,2,16,3,2024-09-24,65.33,82.0,Tidak Tercapai
380489,2,16,4,2024-09-24,67.08,85.0,Tidak Tercapai
380490,2,16,5,2024-09-24,57.73,85.0,Tidak Tercapai
380491,2,16,6,2024-09-24,64.6,75.0,Tidak Tercapai
380492,2,16,7,2024-09-24,71.52,88.0,Tidak Tercapai
380493,2,16,8,2024-09-24,75.49,80.0,Tidak Tercapai
380494,2,16,9,2024-09-24,70.83,90.0,Tidak Tercapai
380495,2,16,10,2024-09-24,60.87,72.0,Tidak Tercapai
380496,2,16,11,2024-09-24,68.74,83.0,Tidak Tercapai
380497,2,16,12,2024-09-24,74.04,88.0,Tidak Tercapai
380498,2,16,13,2024-09-24,70.31,78.0,Tidak Tercapai
380499,2,16,14,2024-09-24,64.29,85.0,Tidak Tercapai
380500,2,16,15,2024-09-24,71.15,82.0,Tidak Tercapai
380501,2,16,1,2024-10-28,70.11,80.0,Tidak Tercapai
380502,2,16,2,2024-10-28,74.04,80.0,Tidak Tercapai
380503,2,16,3,2024-10-28,64.33,82.0,Tidak Tercapai
380504,2,16,4,2024-10-28,66.01,85.0,Tidak Tercapai
380505,2,16,5,2024-10-28,65.72,85.0,Tidak Tercapai
380506,2,16,6,2024-10-28,59.8,75.0,Tidak Tercapai
380507,2,16,7,2024-10-28,72.1,88.0,Tidak Tercapai
380508,2,16,8,2024-10-28,70.85,80.0,Tidak Tercapai
380509,2,16,9,2024-10-28,74.08,90.0,Tidak Tercapai
380510,2,16,10,2024-10-28,64.24,72.0,Tidak Tercapai
380511,2,16,11,2024-10-28,65.5,83.0,Tidak Tercapai
380512,2,16,12,2024-10-28,68.88,88.0,Tidak Tercapai
380513,2,16,13,2024-10-28,68.13,78.0,Tidak Tercapai
380514,2,16,14,2024-10-28,63.88,85.0,Tidak Tercapai
380515,2,16,15,2024-10-28,68.95,82.0,Tidak Tercapai
380516,2,16,1,2024-10-05,71.39,80.0,Tidak Tercapai
380517,2,16,2,2024-10-05,78.06,80.0,Tidak Tercapai
380518,2,16,3,2024-10-05,68.17,82.0,Tidak Tercapai
380519,2,16,4,2024-10-05,68.54,85.0,Tidak Tercapai
380520,2,16,5,2024-10-05,67.05,85.0,Tidak Tercapai
380521,2,16,6,2024-10-05,57.66,75.0,Tidak Tercapai
380522,2,16,7,2024-10-05,70.55,88.0,Tidak Tercapai
380523,2,16,8,2024-10-05,69.84,80.0,Tidak Tercapai
380524,2,16,9,2024-10-05,85.03,90.0,Tidak Tercapai
380525,2,16,10,2024-10-05,64.33,72.0,Tidak Tercapai
