department_name,periode,avg_kpi
Corporate Strategy,2023-06-01,93.85433333333334
Corporate Strategy,2023-07-01,57.45233333333333
Corporate Strategy,2023-08-01,69.17666666666668
Corporate Strategy,2023-09-01,72.6152380952381
Corporate Strategy,2023-10-01,74.829
Corporate Strategy,2023-11-01,73.31706666666666
Corporate Strategy,2023-12-01,71.96516666666666
Corporate Strategy,2024-01-01,65.42633333333333
Corporate Strategy,2024-02-01,60.78066666666667
Corporate Strategy,2024-03-01,52.776666666666664
Corporate Strategy,2024-04-01,52.50933333333333
Corporate Strategy,2024-05-01,72.24033333333334
Corporate Strategy,2024-06-01,84.70088888888888
Corporate Strategy,2024-07-01,64.902
Corporate Strategy,2024-08-01,67.328
Corporate Strategy,2024-09-01,77.19977777777777
Corporate Strategy,2024-10-01,67.00566666666667
Corporate Strategy,2024-11-01,74.35633333333332
Corporate Strategy,2024-12-01,68.62466666666667
Corporate Strategy,2025-01-01,89.01283333333335
Corporate Strategy,2025-04-01,97.164
Corporate Strategy,2025-05-01,74.11588888888889
Corporate Strategy,2025-06-01,70.31383333333333
Corporate Strategy,2025-07-01,67.90333333333334
Corporate Strategy,2025-08-01,67.42555555555556
Corporate Strategy,2025-09-01,67.71444444444445
Corporate Strategy,2025-12-01,70.055
Corporate Strategy,2026-01-01,71.81625000000001
Corporate Strategy,2026-02-01,72.76644444444445
Corporate Strategy,2026-05-01,97.20977777777777
Customer Service,2023-06-01,89.498
Customer Service,2023-07-01,92.42542857142857
Customer Service,2023-08-01,79.94133333333333
Customer Service,2023-09-01,65.00866666666667
Customer Service,2023-10-01,87.41641666666666
Customer Service,2023-11-01,84.11544444444445
Customer Service,2024-01-01,67.53516666666667
Customer Service,2024-02-01,61.845111111111116
Customer Service,2024-03-01,88.59133333333332
Customer Service,2024-04-01,90.18173333333334
Customer Service,2024-05-01,74.47613333333334
Customer Service,2024-06-01,82.5668888888889
Customer Service,2024-07-01,86.50933333333334
Customer Service,2024-08-01,95.06866666666667
Customer Service,2024-09-01,93.66733333333333
Customer Service,2024-10-01,91.04177777777778
Customer Service,2024-11-01,84.70095238095239
Customer Service,2024-12-01,90.33333333333333
Customer Service,2025-01-01,82.59066666666666
Customer Service,2025-02-01,80.63066666666667
Customer Service,2025-03-01,76.39316666666667
Customer Service,2025-04-01,89.77416666666666
Customer Service,2025-05-01,91.48816666666667
Customer Service,2025-06-01,65.89133333333334
Customer Service,2025-07-01,77.99933333333334
Customer Service,2025-08-01,69.96133333333334
Customer Service,2025-09-01,91.17333333333333
Customer Service,2025-10-01,81.51333333333334
Customer Service,2025-11-01,92.532
Customer Service,2025-12-01,95.35977777777777
Customer Service,2026-02-01,88.26866666666666
Customer Service,2026-03-01,80.28688888888888
Customer Service,2026-04-01,85.62349999999999
Customer Service,2026-05-01,86.11166666666666
Design,2023-06-01,65.94566666666667
Design,2023-07-01,70.7601212121212
Design,2023-08-01,74.26333333333334
Design,2023-09-01,79.68133333333333
Design,2023-10-01,67.96052631578948
Design,2023-11-01,77.90466666666667
Design,2023-12-01,78.8730909090909
Design,2024-01-01,73.83428571428571
Design,2024-02-01,87.23190476190477
Design,2024-03-01,71.34394444444445
Design,2024-04-01,69.85928571428572
Design,2024-05-01,74.07377777777778
Design,2024-06-01,75.25260606060606
Design,2024-07-01,72.87966666666667
Design,2024-08-01,73.1215
Design,2024-09-01,86.27066666666666
Design,2024-10-01,71.394
Design,2024-11-01,77.03906666666667
Design,2024-12-01,73.18466666666666
Design,2025-01-01,76.90902564102564
Design,2025-02-01,68.74405555555556
Design,2025-03-01,73.57893333333334
Design,2025-04-01,68.23725925925926
Design,2025-05-01,77.99511111111111
Design,2025-06-01,64.0375238095238
Design,2025-07-01,80.62544444444444
Design,2025-08-01,67.48133333333334
Design,2025-09-01,77.4244
Design,2025-10-01,56.95666666666667
Design,2025-11-01,69.92493333333333
Design,2025-12-01,68.05033333333333
Design,2026-01-01,74.41191666666667
Design,2026-02-01,59.967222222222226
Design,2026-03-01,69.58706666666666
Design,2026-04-01,91.36933333333333
Design,2026-05-01,72.87546666666667
Finance,2023-06-01,48.18066666666667
Finance,2023-07-01,65.70769230769231
Finance,2023-08-01,66.77466666666668
Finance,2023-09-01,71.45407407407407
Finance,2023-10-01,72.6208148148148
Finance,2023-11-01,89.63674074074073
Finance,2023-12-01,83.0005
Finance,2024-01-01,82.89212121212121
Finance,2024-02-01,80.29860606060606
Finance,2024-03-01,68.80300000000001
Finance,2024-04-01,71.61311111111111
Finance,2024-05-01,64.1465
Finance,2024-06-01,71.11566666666666
Finance,2024-07-01,74.83373333333333
Finance,2024-08-01,72.04375757575757
Finance,2024-09-01,72.80857142857143
Finance,2024-10-01,63.94366666666667
Finance,2024-11-01,68.03274074074073
Finance,2024-12-01,75.4962962962963
Finance,2025-01-01,74.23707692307693
Finance,2025-02-01,70.9195
Finance,2025-03-01,78.30316666666666
Finance,2025-04-01,67.48047619047618
Finance,2025-05-01,64.95733333333334
Finance,2025-06-01,71.85042424242424
Finance,2025-07-01,63.03438095238095
Finance,2025-08-01,70.55607407407408
Finance,2025-09-01,76.51088888888889
Finance,2025-10-01,84.83503703703704
Finance,2025-11-01,75.29666666666667
Finance,2025-12-01,74.10027777777778
Finance,2026-01-01,76.95693333333334
Finance,2026-02-01,73.67933333333333
Finance,2026-03-01,76.82748148148147
Finance,2026-04-01,73.77004761904762
Finance,2026-05-01,69.84125925925926
Human Resources,2023-06-01,78.01933333333334
Human Resources,2023-07-01,72.92655555555555
Human Resources,2023-08-01,78.06435897435897
Human Resources,2023-09-01,77.82698039215687
Human Resources,2023-10-01,72.28066666666668
Human Resources,2023-11-01,75.69651851851852
Human Resources,2023-12-01,80.2125
Human Resources,2024-01-01,67.102
Human Resources,2024-02-01,70.62053333333333
Human Resources,2024-03-01,66.34566666666666
Human Resources,2024-04-01,64.81688888888888
Human Resources,2024-05-01,83.92755555555556
Human Resources,2024-06-01,63.04266666666666
Human Resources,2024-07-01,72.83013333333334
Human Resources,2024-08-01,70.09786666666668
Human Resources,2024-09-01,78.65904761904763
Human Resources,2024-10-01,74.02120000000001
Human Resources,2024-11-01,80.2935
Human Resources,2024-12-01,58.65057142857143
Human Resources,2025-01-01,67.06544444444445
Human Resources,2025-02-01,57.16479999999999
Human Resources,2025-03-01,63.03438095238095
Human Resources,2025-04-01,82.65088888888889
Human Resources,2025-06-01,69.09544444444444
Human Resources,2025-07-01,69.78133333333334
Human Resources,2025-08-01,68.38091666666666
Human Resources,2025-09-01,79.78033333333333
Human Resources,2025-10-01,78.60982222222222
Human Resources,2025-11-01,65.6973888888889
Human Resources,2025-12-01,68.34542857142857
Human Resources,2026-01-01,67.55257142857143
Human Resources,2026-02-01,68.35038095238095
Human Resources,2026-03-01,71.65171428571429
Human Resources,2026-04-01,76.12474999999999
Human Resources,2026-05-01,66.40377777777778
IT,2023-07-01,68.33888888888889
IT,2023-08-01,62.251200000000004
IT,2023-09-01,64.49725925925925
IT,2023-10-01,68.94111111111111
IT,2023-11-01,68.99009523809524
IT,2023-12-01,59.825523809523816
IT,2024-01-01,70.87696296296296
IT,2024-02-01,65.87102564102564
IT,2024-03-01,74.42788888888889
IT,2024-04-01,71.53333333333333
IT,2024-05-01,61.86716666666667
IT,2024-06-01,77.39238095238095
IT,2024-07-01,65.00514285714286
IT,2024-08-01,62.162952380952376
IT,2024-09-01,71.588
IT,2024-10-01,69.91333333333334
IT,2024-11-01,75.15444444444444
IT,2024-12-01,73.37625
IT,2025-01-01,76.32083333333334
IT,2025-02-01,67.84025
IT,2025-03-01,68.42313333333333
