employee_id,usia,lama_bekerja_tahun,level_jabatan,department_name,project_budget,durasi_hari,kpi_category,rata_kpi_value
1,38,9,Manager,Operations,75000000.0,203,Efficiency,91.02
1,38,9,Manager,Operations,75000000.0,203,HR,94.265
1,38,9,Manager,Operations,75000000.0,203,Innovation,96.66
1,38,9,Manager,Operations,75000000.0,203,Performance,93.34
1,38,9,Manager,Operations,75000000.0,203,Project,91.8
1,38,9,Manager,Operations,75000000.0,203,Quality,90.3
1,38,9,Manager,Operations,75000000.0,203,Technical,98.0
1,38,9,Manager,Operations,82017929.0,114,Attendance,94.65
1,38,9,Manager,Operations,82017929.0,114,HR,96.41
1,38,9,Manager,Operations,82017929.0,114,Innovation,91.89
1,38,9,Manager,Operations,82017929.0,114,Project,87.16
1,38,9,Manager,Operations,82017929.0,114,Quality,91.92
1,38,9,Manager,Operations,82017929.0,114,Teamwork,94.61
1,38,9,Manager,Operations,82017929.0,114,Technical,92.78
1,38,9,Manager,Operations,110000000.0,199,Attendance,89.19
1,38,9,Manager,Operations,110000000.0,199,Development,90.18
1,38,9,Manager,Operations,110000000.0,199,HR,91.92
1,38,9,Manager,Operations,110000000.0,199,Quality,92.045
1,38,9,Manager,Operations,110000000.0,199,Teamwork,94.66
1,38,9,Manager,Operations,110000000.0,199,Technical,87.83
1,38,9,Manager,Operations,110000000.0,199,Time Management,98.0
1,38,9,Manager,Operations,140000000.0,211,Attendance,98.0
1,38,9,Manager,Operations,140000000.0,211,Development,92.29
1,38,9,Manager,Operations,140000000.0,211,HR,94.49000000000001
1,38,9,Manager,Operations,140000000.0,211,Innovation,93.91
1,38,9,Manager,Operations,140000000.0,211,Quality,89.94
1,38,9,Manager,Operations,204675132.0,174,Attendance,98.0
1,38,9,Manager,Operations,204675132.0,174,Development,92.01
1,38,9,Manager,Operations,204675132.0,174,HR,98.0
1,38,9,Manager,Operations,204675132.0,174,Quality,92.91499999999999
1,38,9,Manager,Operations,204675132.0,174,Teamwork,93.8
1,38,9,Manager,Operations,204675132.0,174,Technical,95.72
1,38,9,Manager,Operations,204675132.0,174,Time Management,92.52
1,38,9,Manager,Operations,206368642.0,46,Attendance,98.0
1,38,9,Manager,Operations,206368642.0,46,Development,96.37
1,38,9,Manager,Operations,206368642.0,46,Efficiency,98.0
