employee_id,usia,lama_bekerja_tahun,level_jabatan,department_name,project_budget,durasi_hari,kpi_category,rata_kpi_value,cluster
1,38,9,Manager,Operations,75000000.0,203,Efficiency,91.02,0
1,38,9,Manager,Operations,75000000.0,203,HR,94.265,0
1,38,9,Manager,Operations,75000000.0,203,Innovation,96.66,0
1,38,9,Manager,Operations,75000000.0,203,Performance,93.34,0
1,38,9,Manager,Operations,75000000.0,203,Project,91.8,0
1,38,9,Manager,Operations,75000000.0,203,Quality,90.3,0
1,38,9,Manager,Operations,75000000.0,203,Technical,98.0,0
1,38,9,Manager,Operations,82017929.0,114,Attendance,94.65,0
1,38,9,Manager,Operations,82017929.0,114,HR,96.41,0
1,38,9,Manager,Operations,82017929.0,114,Innovation,91.89,0
1,38,9,Manager,Operations,82017929.0,114,Project,87.16,0
1,38,9,Manager,Operations,82017929.0,114,Quality,91.92,0
1,38,9,Manager,Operations,82017929.0,114,Teamwork,94.61,0
1,38,9,Manager,Operations,82017929.0,114,Technical,92.78,0
1,38,9,Manager,Operations,110000000.0,199,Attendance,89.19,0
1,38,9,Manager,Operations,110000000.0,199,Development,90.18,0
1,38,9,Manager,Operations,110000000.0,199,HR,91.92,0
1,38,9,Manager,Operations,110000000.0,199,Quality,92.045,0
1,38,9,Manager,Operations,110000000.0,199,Teamwork,94.66,0
1,38,9,Manager,Operations,110000000.0,199,Technical,87.83,0
1,38,9,Manager,Operations,110000000.0,199,Time Management,98.0,0
1,38,9,Manager,Operations,140000000.0,211,Attendance,98.0,0
1,38,9,Manager,Operations,140000000.0,211,Development,92.29,0
1,38,9,Manager,Operations,140000000.0,211,HR,94.49000000000001,0
1,38,9,Manager,Operations,140000000.0,211,Innovation,93.91,0
1,38,9,Manager,Operations,140000000.0,211,Quality,89.94,0
1,38,9,Manager,Operations,204675132.0,174,Attendance,98.0,0
1,38,9,Manager,Operations,204675132.0,174,Development,92.01,0
1,38,9,Manager,Operations,204675132.0,174,HR,98.0,0
1,38,9,Manager,Operations,204675132.0,174,Quality,92.91499999999999,0
1,38,9,Manager,Operations,204675132.0,174,Teamwork,93.8,0
1,38,9,Manager,Operations,204675132.0,174,Technical,95.72,0
1,38,9,Manager,Operations,204675132.0,174,Time Management,92.52,0
1,38,9,Manager,Operations,206368642.0,46,Attendance,98.0,0
1,38,9,Manager,Operations,206368642.0,46,Development,96.37,0
1,38,9,Manager,Operations,206368642.0,46,Efficiency,98.0,0
1,38,9,Manager,Operations,206368642.0,46,Innovation,89.85,0
1,38,9,Manager,Operations,206368642.0,46,Quality,90.07,0
1,38,9,Manager,Operations,206368642.0,46,Technical,94.23,0
1,38,9,Manager,Operations,300000000.0,242,Development,94.34,0
1,38,9,Manager,Operations,300000000.0,242,Efficiency,97.76,0
1,38,9,Manager,Operations,300000000.0,242,Finance,88.57499999999999,0
1,38,9,Manager,Operations,300000000.0,242,HR,96.28000000000002,0
1,38,9,Manager,Operations,300000000.0,242,Innovation,90.935,0
1,38,9,Manager,Operations,300000000.0,242,Teamwork,90.14,0
1,38,9,Manager,Operations,300000000.0,242,Technical,90.67,0
1,38,9,Manager,Operations,300000000.0,242,Time Management,88.52,0
1,38,9,Manager,Operations,472961951.0,350,Efficiency,93.28,0
1,38,9,Manager,Operations,472961951.0,350,Finance,94.97,0
1,38,9,Manager,Operations,472961951.0,350,Performance,94.155,0
1,38,9,Manager,Operations,472961951.0,350,Quality,88.24,0
1,38,9,Manager,Operations,472961951.0,350,Technical,96.215,0
1,38,9,Manager,Operations,472961951.0,350,Time Management,98.0,0
2,28,2,Staff,IT,50000000.0,211,HR,77.96,1
2,28,2,Staff,IT,50000000.0,211,Performance,74.45,1
2,28,2,Staff,IT,60000000.0,214,Development,62.38,1
2,28,2,Staff,IT,60000000.0,214,Efficiency,68.225,1
2,28,2,Staff,IT,60000000.0,214,HR,77.435,1
2,28,2,Staff,IT,60000000.0,214,Innovation,66.37,1
2,28,2,Staff,IT,60000000.0,214,Performance,67.02,1
2,28,2,Staff,IT,60000000.0,214,Quality,66.418,1
2,28,2,Staff,IT,60000000.0,214,Time Management,69.97,1
2,28,2,Staff,IT,90000000.0,244,Attendance,75.2,1
